"sector","indice_productividad_laboral_horas_trabajadas_2005","indice_productividad_laboral_horas_trabajadas_2019","indice_costo_unitario_mano_obra_horas_trabajadas_2005","indice_costo_unitario_mano_obra_horas_trabajadas_2019","personalremunerado"
"3353  Fabricación de equipo de generación y distribución de energía eléctrica",105.1,113.9,95.7,101,59858
"3359  Fabricación de otros equipos y accesorios eléctricos",105.9,100.7,90.7,111.6,67162
"3361  Fabricación de automóviles y camiones",95.1,83.2,110.7,132.3,86178
"3362  Fabricación de carrocerías y remolques",132.9,144.4,80.5,91.2,24520
"3363  Fabricación de partes para vehículos automotores",100.6,91.8,107.3,128.6,842951
"3364  Fabricación de equipo aeroespacial",200,131.9,49.1,91.5,32033
"3365  Fabricación de equipo ferroviario",1065.8,123.3,17.4,105.8,14254
"3366  Fabricación de embarcaciones",57.1,136.8,156.9,103.1,6808
"3369  Fabricación de otro equipo de transporte",95.5,158.2,94.5,79.4,8155
"3371  Fabricación de muebles, excepto de oficina y estantería",84.2,115.4,134.4,111.3,86314
"3372  Fabricación de muebles de oficina y estantería",78.1,103.4,126.1,113.9,25204
"3379  Fabricación de colchones, persianas y cortineros",88.7,86.9,114.9,123.8,20456
"3391  Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",128.5,122.6,82.3,106.1,161285
"3399  Otras industrias manufactureras",72.3,109,135.3,120.2,80954
